FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:18:46.542000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:18:53.835000;192238904,1;0,15;0;479808,2353;11376777,94;9199998,872;1861018,515;5;3;4G;LTE;63601;-99;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:19:12.273000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:18:53.835000;192238904,1;0,15;0;479808,2353;11376777,94;9199998,872;1861018,515;5;3;4G;LTE;63601;-99;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:19:23.752000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:19:53.061000;199196558,2;0,14;0;742840,9302;3030300,52;8918991,222;2184977,577;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;2;2019-07-10 16:19:33.033000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:19:53.061000;199196558,2;0,14;0;742840,9302;3030300,52;8918991,222;2184977,577;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:19:42.651000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:19:53.061000;199196558,2;0,14;0;742840,9302;3030300,52;8918991,222;2184977,577;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;2;2019-07-10 16:19:53.708000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:19:53.061000;199196558,2;0,14;0;742840,9302;3030300,52;8918991,222;2184977,577;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:20:02.755000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:19:53.061000;199196558,2;0,14;0;742840,9302;3030300,52;8918991,222;2184977,577;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;4;2019-07-11 15:38:43.617000;547119ec-f0f8-4246-b8b6-db8a7c881e5c;2019-07-11 15:38:41.159000;183562874,7;0,11;0;877432,6742;1190373,04;10005101,64;9299525,378;1;4;4G;LTE;63601;-95;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 04:09:41.627000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:09:06.785000;819056555,9;0;0;5565640,16;14065320,12;611303,5777;66521,67674;4;4;3G;HSPAP;63601;-81;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-13 04:09:50.461000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
